2024-05-19 09:40:49, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:40:49, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:40:49, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:40:54, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:40:54, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:40:57, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:40:57, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:40:57, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:40:57, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:41:05, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:41:05, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:41:05, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:41:08, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:41:08, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:41:08, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:41:08, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:41:08, 192.168.1.58, DNS Amplification attack detected
2024-05-19 09:41:08, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:41:11, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:41:13, 192.168.1.1, DNS Amplification attack detected
2024-05-19 09:41:13, 192.168.1.1, DNS Amplification attack detected
